영구번호,화장실명,위도,경도,좌표정확도,좌표출처,카카오장소ID,카카오장소명,이름유사도,사유
WC038272,모구리야영장(대피소),33.4070310311947,126.822110539791,A,kakao_place_bldg,20336584,모구리야영장 대피소,1.0,"캠퍼스·단지 건물 좌표(구분어 대피소, 묶음 좌표에서 45m)"
WC038271,모구리야영장(가족영지),33.4058569592827,126.820741231642,A,kakao_place_bldg,17584555,모구리야영장 가족영지,1.0,"캠퍼스·단지 건물 좌표(구분어 가족영지, 묶음 좌표에서 157m)"
WC038270,모구리야영장(일출봉영지),33.4055996259388,126.822362856627,A,kakao_place_bldg,17584563,모구리야영장 일출봉영지,1.0,"캠퍼스·단지 건물 좌표(구분어 일출봉영지, 묶음 좌표에서 116m)"
WC037895,오백장군갤러리 화장실,33.4462714776289,126.660637147636,A,kakao_place_bldg,27120091,오백장군갤러리,1.0,"캠퍼스·단지 건물 좌표(구분어 오백장군갤러리, 묶음 좌표에서 673m)"
WC037892,돌박물관 야외화장실,33.4502961692241,126.657984241152,A,kakao_place_bldg,18119056,제주돌문화공원 돌박물관야외무대,0.57,"캠퍼스·단지 건물 좌표(구분어 돌박물관야외, 묶음 좌표에서 168m)"
WC037891,돌박물관 화장실,33.449955198962,126.658579277075,A,kakao_place_bldg,843290898,제주돌박물관,0.8,"캠퍼스·단지 건물 좌표(구분어 돌박물관, 묶음 좌표에서 235m)"
WC037937,애향운동장,33.49554666108122,126.51782209543354,A,kakao_place_bldg,17808519,제주종합경기장 애향운동장,0.59,"캠퍼스·단지 건물 좌표(구분어 애향운동장, 묶음 좌표에서 105m)"
WC038188,제주시청1별관,33.4998510078275,126.531967882151,A,kakao_place_bldg,106576479,제주시청 1별관,1.0,"캠퍼스·단지 건물 좌표(구분어 별관, 묶음 좌표에서 47m)"
WC037898,제주시청 시민화장실,33.4975520839931,126.531050485132,A,kakao_place_bldg,1051905687,시민정치연대 제주가치,0.25,"캠퍼스·단지 건물 좌표(구분어 시민, 묶음 좌표에서 315m)"
WC037834,제주항 연안여객터미널(1층 매표소),33.5194882503356,126.53523664066,A,kakao_place_bldg,2078038700,매표소 제주항연안여객터미널,0.77,"캠퍼스·단지 건물 좌표(구분어 매표소, 묶음 좌표에서 112m)"
WC037724,주차장화장실,34.32828374985573,126.8086342036775,A,kakao_place_bldg,20848636,신지명사십리해수욕장 1주차장,0.35,"캠퍼스·단지 건물 좌표(구분어 주차장, 묶음 좌표에서 109m)"
WC037803,해안도로입구,34.4327127461606,126.351823142486,A,kakao_place_bldg,1673121327,해안도로입구 화장실,0.8,"캠퍼스·단지 건물 좌표(구분어 해안도로입구, 묶음 좌표에서 617m)"
WC001576,해안도로입구,34.4327127461606,126.351823142486,A,kakao_place_bldg,1673121327,해안도로입구 화장실,0.8,"캠퍼스·단지 건물 좌표(구분어 해안도로입구, 묶음 좌표에서 617m)"
WC004471,고흥군농업기술센터,34.56684435637109,127.25883019551249,A,kakao_place_bldg,25969000,고흥군농업기술센터,1.0,"캠퍼스·단지 건물 좌표(구분어 고흥군농업기술센터, 묶음 좌표에서 100m)"
WC037175,축구장,34.5673751150115,126.619276253123,A,kakao_place_bldg,11585829,우슬체육공원 축구장,0.5,"캠퍼스·단지 건물 좌표(구분어 축구장, 묶음 좌표에서 384m)"
WC037174,풋살장,34.5696245545444,126.62025549208,A,kakao_place_bldg,1055218229,우슬체육공원 풋살장,0.5,"캠퍼스·단지 건물 좌표(구분어 풋살장, 묶음 좌표에서 302m)"
WC037215,해남군보건소,34.5705249265595,126.61189075879,A,kakao_place_bldg,1180629476,해남군보건소 구강보건센터,0.67,"캠퍼스·단지 건물 좌표(구분어 해남군보건소, 묶음 좌표에서 21m)"
WC037214,건강누리센터,34.570163870815804,126.6117398707299,A,kakao_place_bldg,1317104194,해남건강누리센터,0.86,"캠퍼스·단지 건물 좌표(구분어 건강누리센터, 묶음 좌표에서 44m)"
WC037290,명량대첩해전사 공중화장실1층,34.5726125367439,126.309816283472,A,kakao_place_bldg,1841927605,우수영국민관광지 명량대첩해전사기념전시관,0.52,"캠퍼스·단지 건물 좌표(구분어 명량대첩해전사, 묶음 좌표에서 30m)"
WC037289,명량대첩해전사 공중화장실3층,34.5726125367439,126.309816283472,A,kakao_place_bldg,1841927605,우수영국민관광지 명량대첩해전사기념전시관,0.52,"캠퍼스·단지 건물 좌표(구분어 명량대첩해전사, 묶음 좌표에서 30m)"
WC008951,고흥문화원,34.6124652868439,127.297612366226,A,kakao_place_bldg,10165004,고흥문화원,1.0,"캠퍼스·단지 건물 좌표(구분어 고흥문화원, 묶음 좌표에서 421m)"
WC004635,박지성공설운동장,34.61430002729198,127.2985893127222,A,kakao_place_bldg,8193641,박지성공설운동장,1.0,"캠퍼스·단지 건물 좌표(구분어 박지성공설운동장, 묶음 좌표에서 209m)"
WC004634,고흥종합문화회관,34.6124580328575,127.29762978532,A,kakao_place_bldg,10169101,고흥종합문화회관,1.0,"캠퍼스·단지 건물 좌표(구분어 고흥종합문화회관, 묶음 좌표에서 420m)"
WC035766,오동도 용굴,34.743396623851,127.765726220999,A,kakao_place_bldg,18091598,오동도 용굴,1.0,"캠퍼스·단지 건물 좌표(구분어 용굴, 묶음 좌표에서 227m)"
WC037421,왕인박사유적지 주차장,34.7562513068662,126.630486696891,A,kakao_place_bldg,17580753,왕인학당 주차장1,0.56,"캠퍼스·단지 건물 좌표(구분어 주차장, 묶음 좌표에서 129m)"
WC037420,왕인박사유적지 매표소,34.7575498603069,126.62828774959,A,kakao_place_bldg,17944613,왕인학당 매표소,0.59,"캠퍼스·단지 건물 좌표(구분어 매표소, 묶음 좌표에서 136m)"
WC037419,왕인박사유적지 관리사무소,34.7562861806341,126.6312860288,A,kakao_place_bldg,17944615,왕인학당 관리사무소,0.67,"캠퍼스·단지 건물 좌표(구분어 관리사무소, 묶음 좌표에서 200m)"
WC037418,왕인박사유적지 월악루,34.7545103302322,126.630669199875,A,kakao_place_bldg,13147205,월악루,0.46,"캠퍼스·단지 건물 좌표(구분어 월악루, 묶음 좌표에서 266m)"
