영구번호,화장실명,종류,조치,위도,경도,등급,장소명,장소ID,근거
WC013925,매천역(지상철3호선),T12,move,35.9095023721995,128.545792436549,,,,"도로명·지번 423m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC013733,태전동 628-6번지 하천 인근 화장실,T12,move,35.9095023721995,128.545792436549,,,,"도로명·지번 423m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC013732,매천동 669번지 하천 인근 화장실,T12,move,35.9095023721995,128.545792436549,,,,"도로명·지번 423m 차이, 이름의 읍면동 → 지번"
WC053436,홍수조절지(야구장),T12,move,35.3377953781815,126.976291758973,,,,"도로명·지번 1271m 차이, 장소검색(네이버) → 지번"
WC040035,구덕야영장,T12,move,35.1287253037881,129.016544625999,,,,"도로명·지번 802m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC040030,내원정사 옆,T12,move,35.1287253037881,129.016544625999,,,,"도로명·지번 802m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC019228,다산2동주민센터 4층,T12,move,37.6254149435588,127.14600243411,,,,"도로명·지번 2861m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC019227,다산2동주민센터 3층,T12,move,37.6254149435588,127.14600243411,,,,"도로명·지번 2861m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC019226,다산2동주민센터 2층,T12,move,37.6254149435588,127.14600243411,,,,"도로명·지번 2861m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC019225,다산2동주민센터 1층,T12,move,37.6254149435588,127.14600243411,,,,"도로명·지번 2861m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043912,화랑유원지 관리동 화장실,T12,move,37.3268455747836,126.813908652465,,,,"도로명·지번 464m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043911,화랑유원지 F동 화장실,T12,move,37.3268455747836,126.813908652465,,,,"도로명·지번 464m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043910,화랑유원지 E동 미술관앞 화장실,T12,move,37.3268455747836,126.813908652465,,,,"도로명·지번 464m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043909,화랑유원지 D동 축구장 화장실,T12,move,37.3268455747836,126.813908652465,,,,"도로명·지번 464m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043908,화랑유원지 C동 암벽장옆 화장실,T12,move,37.3268455747836,126.813908652465,,,,"도로명·지번 464m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043907,화랑유원지 B동 화장실,T12,move,37.3268455747836,126.813908652465,,,,"도로명·지번 464m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043906,화랑유원지 A동 화장실,T12,move,37.3268455747836,126.813908652465,,,,"도로명·지번 464m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043668,갈대습지 야외화장실(생태다리),T12,move,37.2768376728654,126.837926142129,,,,"도로명·지번 382m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043960,호수공원 제5화장실(인라인장),T12,move,37.3003015104694,126.829282239243,,,,"도로명·지번 301m 차이, 도로명을 5곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043716,신길역사공원 화장실,T12,move,37.3357383408599,126.785711471068,,,,"도로명·지번 2712m 차이, 장소검색(네이버) → 지번"
WC043710,해봉공원 화장실,T12,move,37.3039449144465,126.746388732596,,,,"도로명·지번 6144m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC043736,해란공원 화장실,T12,move,37.2846913222194,126.864852720723,,,,"도로명·지번 4941m 차이, 장소검색(네이버) → 지번"
WC052438,수련원(문화관),T12,move,37.7206256854465,126.556645840069,,,,"도로명·지번 391m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC053348,순천만국가정원 관람차 매표소 화장실,T12,move,34.9266617026461,127.510883635814,,,,"도로명·지번 362m 차이, 도로명을 5곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC051812,낙동강하구에코센터 야생동물치료센터 화장실,T12,move,35.0993834349849,128.938374898692,,,,"도로명·지번 826m 차이, 장소검색(네이버) → 지번"
WC012164,송상현광장 역사마당,T12,move,35.1664167877962,129.066999166465,,,,"도로명·지번 303m 차이, 장소검색(네이버) → 지번"
WC012162,부산시민공원 야외주차장,T12,move,35.1666069669423,129.061202908665,,,,"도로명·지번 502m 차이, 도로명을 11곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC012161,부산시민공원 다솜관,T12,move,35.168747656634,129.060356711831,,,,"도로명·지번 544m 차이, 장소검색(카카오·네이버) → 지번"
WC012160,부산시민공원 시민사랑채,T12,move,35.168747656634,129.060356711831,,,,"도로명·지번 544m 차이, 장소검색(네이버) → 지번"
WC012159,부산시민공원 카페테리아,T12,move,35.1680352447954,129.058160205501,,,,"도로명·지번 348m 차이, 도로명을 11곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC012157,부산시민공원 숲속북카페,T12,move,35.172012404654,129.060514172992,,,,"도로명·지번 836m 차이, 도로명을 11곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC052256,조각공원2(운동장쪽),T12,move,37.7206256854465,126.556645840069,,,,"도로명·지번 391m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC052255,조각공원1(썰매장쪽),T12,move,37.7206256854465,126.556645840069,,,,"도로명·지번 391m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC045276,용인평온의숲(야외화장실) 공중화장실,T12,move,37.1195806322307,127.228249794187,,,,"도로명·지번 511m 차이, 장소검색(네이버) → 지번"
WC044900,용인평온의숲(나래원) 개방화장실,T12,move,37.1195806322307,127.228249794187,,,,"도로명·지번 511m 차이, 장소검색(네이버) → 지번"
WC044899,용인평온의숲(봉안당) 개방화장실,T12,move,37.1195806322307,127.228249794187,,,,"도로명·지번 511m 차이, 장소검색(네이버) → 지번"
WC044898,용인평온의숲(시설관리동) 개방화장실,T12,move,37.1195806322307,127.228249794187,,,,"도로명·지번 511m 차이, 장소검색(네이버) → 지번"
WC044897,용인평온의숲(장례식장) 개방화장실,T12,move,37.1195806322307,127.228249794187,,,,"도로명·지번 511m 차이, 장소검색(네이버) → 지번"
WC017880,신대호수,T12,move,37.2830843912389,127.075812403834,,,,"도로명·지번 909m 차이, 장소검색(네이버) → 지번"
WC017872,앨리웨이광교,T12,move,37.2737266700943,127.060945467331,,,,"도로명·지번 827m 차이, 장소검색(네이버) → 지번"
WC017863,어번레비,T12,move,37.2790544651802,127.06034988904,,,,"도로명·지번 530m 차이, 도로명을 6곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC017800,자작나무쉼터,T12,move,37.2879729635747,127.077364307591,,,,"도로명·지번 1293m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC017788,정다운,T12,move,37.2868523117069,127.07018468388,,,,"도로명·지번 781m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC017717,행복한들,T12,move,37.2819038809975,127.070362199902,,,,"도로명·지번 410m 차이, 도로명을 6곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC007642,장복산공원(구례동산),T12,move,35.1731382435752,128.668154472563,,,,"도로명·지번 685m 차이, 도로명을 5곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC053321,장복하늘마루길(하늘마루 앞),T12,move,35.1731382435752,128.668154472563,,,,"도로명·지번 685m 차이, 도로명을 5곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC053320,장복하늘마루길(삼밀사입구),T12,move,35.1731382435752,128.668154472563,,,,"도로명·지번 685m 차이, 도로명을 5곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC007605,장복하늘마루산길(하늘마루 입구),T12,move,35.1731382435752,128.668154472563,,,,"도로명·지번 685m 차이, 도로명을 5곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC007604,장복하늘마루산길(천주교공원묘지 위),T12,move,35.1692902383494,128.684654505209,,,,"도로명·지번 1154m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC007603,장복하늘마루산길(편백숲 쉼터 옆),T12,move,35.1692902383494,128.684654505209,,,,"도로명·지번 1154m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC011871,남포지하도상가A번화장실,T12,move,35.0973966003204,129.026584989248,,,,"도로명·지번 498m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC052518,"낙동강체육공원 게이트볼,족구장 화장실",T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC052517,낙동강체육공원 축구장4번 화장실,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC028018,산악레포츠공원 정상 화장실,T12,move,36.2585214276438,128.391725367871,,,,"도로명·지번 620m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC028017,산악레포츠공원 인공암벽 화장실,T12,move,36.2585214276438,128.391725367871,,,,"도로명·지번 620m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC028016,산악레포츠공원 관리사무실 화장실,T12,move,36.2585214276438,128.391725367871,,,,"도로명·지번 620m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC028015,산악레포츠공원 5주차장 화장실,T12,move,36.2585214276438,128.391725367871,,,,"도로명·지번 620m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027984,"동락공원 화합의숲(족구장,모임광장,5번광장)화장실",T12,move,36.0964539480353,128.40198336489,,,,"도로명·지번 334m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027983,동락공원 축구장(=7번광장) 화장실,T12,move,36.0964539480353,128.40198336489,,,,"도로명·지번 334m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027981,동락공원 어린이놀이터 태양광친환경화장실,T12,move,36.0964539480353,128.40198336489,,,,"도로명·지번 334m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027980,동락공원 방범초소 화장실,T12,move,36.0964539480353,128.40198336489,,,,"도로명·지번 334m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027979,동락공원 반려동물 놀이터,T12,move,36.0964539480353,128.40198336489,,,,"도로명·지번 334m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027978,동락공원 민속정원 화장실,T12,move,36.0964539480353,128.40198336489,,,,"도로명·지번 334m 차이, 장소검색(카카오·네이버) → 지번"
WC027975,동락공원 고려촌 화장실,T12,move,36.0964539480353,128.40198336489,,,,"도로명·지번 334m 차이, 도로명을 8곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027955,낙동강체육공원 하류제방화장실,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027950,낙동강체육공원 어린이놀이터화장실,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027943,낙동강체육공원 구미캠핑장 화장실5,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027942,낙동강체육공원 구미캠핑장 화장실4,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027941,낙동강체육공원 구미캠핑장 화장실3,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027940,낙동강체육공원 구미캠핑장 화장실2,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027939,낙동강체육공원 구미캠핑장 화장실1,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027937,낙동강체육공원 계류장 주차장 화장실(수거식),T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC027936,낙동강체육공원 3번주차장화장실,T12,move,36.1384442704625,128.375646689416,,,,"도로명·지번 1060m 차이, 도로명을 12곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC032035,삼봉보건진료소,T12,move,34.9503592757135,128.24923193998,,,,"도로명·지번 2751m 차이, 장소검색(카카오·네이버) → 지번"
WC035361,이로근린공원(한국병원 앞),T12,move,34.8127013595333,126.419339559454,,,,"도로명·지번 375m 차이, 장소검색(카카오) → 지번"
WC000916,석적10 섬내공원 화장실,T12,move,36.0760620079151,128.406628839038,,,,"도로명·지번 785m 차이, 장소검색(네이버) → 지번"
WC044640,두곡교 뒤 (다리중간),T12,move,37.1347150241759,127.05446134632,,,,"도로명·지번 645m 차이, 도로명을 3곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC044638,탑동대교 옆,T12,move,37.1338464412125,127.055922311652,,,,"도로명·지번 541m 차이, 장소검색(카카오·네이버) → 지번"
WC044613,오산역 환승센터 버스터미널 공중화장실,T12,move,37.1467202778932,127.066846984736,,,,"도로명·지번 993m 차이, 장소검색(카카오·네이버) → 지번"
WC005888,한강시민공원(야구장),T12,move,37.5718173168123,127.129117715241,,,,"도로명·지번 443m 차이, 장소검색(네이버) → 지번"
WC005887,한강시민공원(화훼단지),T12,move,37.5740879211395,127.139866040774,,,,"도로명·지번 619m 차이, 장소검색(네이버) → 지번"
WC025920,황새공원 다목적광장,T12,move,36.5425946459243,126.797362714742,,,,"도로명·지번 436m 차이, 장소검색(네이버) → 지번"
WC031066,진례5일시장 공중화장실,T12,move,35.2486886187168,128.7488436238,,,,"도로명·지번 1218m 차이, 장소검색(카카오·네이버) → 지번"
WC045412,운정호수공원(3호),T12,move,37.7204954056048,126.757607456994,,,,"도로명·지번 341m 차이, 장소검색(카카오·네이버) → 지번"
WC045411,운정호수공원(2호),T12,move,37.7204954056048,126.757607456994,,,,"도로명·지번 341m 차이, 장소검색(카카오·네이버) → 지번"
WC045410,운정호수공원(1호),T12,move,37.7204954056048,126.757607456994,,,,"도로명·지번 341m 차이, 장소검색(카카오·네이버) → 지번"
WC001523,나비화장실(문화유물전시관 옆),T12,move,35.0578478435584,126.522931727173,,,,"도로명·지번 335m 차이, 도로명을 14곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC001522,황소주차장 화장실,T12,move,35.0589089882687,126.523130106657,,,,"도로명·지번 426m 차이, 장소검색(카카오·네이버) → 지번"
WC001414,자연생태공원 놀이동산 화장실,T12,move,35.1356690071977,126.502301075782,,,,"도로명·지번 318m 차이, 도로명을 7곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC001413,자연생태공원 수변데크 입구,T12,move,35.1356690071977,126.502301075782,,,,"도로명·지번 318m 차이, 도로명을 7곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC001412,자연생태공원 나비애벌레관 옆,T12,move,35.1356690071977,126.502301075782,,,,"도로명·지번 318m 차이, 도로명을 7곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC001411,자연생태공원 나비표본전시관2층,T12,move,35.1356690071977,126.502301075782,,,,"도로명·지번 318m 차이, 도로명을 7곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC001410,자연생태공원 나비표본전시관1층,T12,move,35.1356690071977,126.502301075782,,,,"도로명·지번 318m 차이, 도로명을 7곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC001409,자연생태공원 집회동 1층,T12,move,35.1356690071977,126.502301075782,,,,"도로명·지번 318m 차이, 도로명을 7곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC001408,자연생태공원 잔디광장 옆,T12,move,35.1356690071977,126.502301075782,,,,"도로명·지번 318m 차이, 도로명을 7곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC047339,탄금공원 야외화장실(돌미로),T12,move,36.9865436478357,127.922306423403,,,,"도로명·지번 1493m 차이, 도로명을 4곳이 같이 씀(관청·대표 주소 의심) → 지번"
WC047314,호암공원화장실(호암),T12,move,36.9642544236135,127.923702811779,,,,"도로명·지번 317m 차이, 장소검색(카카오·네이버) → 지번"
WC047252,유소년 축구장 화장실,T12,move,36.9580345424452,127.909307147305,,,,"도로명·지번 900m 차이, 장소검색(카카오·네이버) → 지번"
WC040991,전망대 내 화장실,T12,move,37.7818763371689,126.292547133889,,,,"도로명·지번 359m 차이, 장소검색(카카오) → 지번"
