운영기관,노선,역명,화장실행,출처,원본위도,원본경도,주소,위도,경도,좌표출처,카카오장소
코레일,경의중앙,가좌,2,국가철도공단,,,,37.5687433529646,126.914815128053,카카오,가좌역 경의중앙선
코레일,경의중앙,강매,2,국가철도공단,,,,37.6122904718741,126.84449823065067,카카오,강매역 경의중앙선
코레일,경의중앙,곡산,2,국가철도공단,,,,37.64607886227099,126.80160321314327,카카오,곡산역 경의중앙선
코레일,경의중앙,공덕,2,국가철도공단,,,,37.5445416897534,126.951451177648,카카오,공덕역 5호선
코레일,경의중앙,구리,2,국가철도공단,,,,37.603268938528196,127.14335098072823,카카오,구리역 경의중앙선
코레일,경의중앙,국수,4,국가철도공단,,,,37.5161871164552,127.399309828929,카카오,국수역 경의중앙선
코레일,경의중앙,금릉,2,국가철도공단,,,,37.7513389843704,126.765410119425,카카오,금릉역 경의중앙선
코레일,경의중앙,금촌,2,국가철도공단,,,,37.7662265030421,126.774633255205,카카오,금촌역 경의중앙선
코레일,경의중앙,능곡,2,국가철도공단,,,,37.61898698884321,126.82063426387445,카카오,능곡역 경의중앙선
코레일,경의중앙,덕소,2,국가철도공단,,,,37.5868830491915,127.208883449736,카카오,덕소역
코레일,경의중앙,도농,2,국가철도공단,,,,37.6087726045416,127.161178663222,카카오,도농역 경의중앙선
코레일,경의중앙,도심,2,국가철도공단,,,,37.579639075911,127.222683857886,카카오,도심역 경의중앙선
코레일,경의중앙,디지털미디어시티,2,국가철도공단,,,,37.57601374718818,126.90127778415635,카카오,디지털미디어시티역 6호선
코레일,경의중앙,망우,2,국가철도공단,,,,37.5992960295399,127.092367383432,카카오,망우역 경의중앙선
코레일,경의중앙,문산,2,국가철도공단,,,,37.854626895054,126.787395378931,카카오,문산역 경의중앙선
코레일,경의중앙,백마,2,국가철도공단,,,,37.65853599537713,126.7943339818477,카카오,백마역 경의중앙선
코레일,경의중앙,상봉,4,국가철도공단,,,,37.59690265237782,127.08565745176551,카카오,상봉역
코레일,경의중앙,서강대,2,국가철도공단,,,,37.5521384864879,126.935507621173,카카오,서강대역 경의중앙선
코레일,경의중앙,서빙고,4,국가철도공단,,,,37.519568139395346,126.98841094338457,카카오,서빙고역 경의중앙선
코레일,경의중앙,서울역,2,국가철도공단,,,,37.55332892758497,126.96974961781686,카카오,서울역 공항철도
코레일,경의중앙,수색,2,국가철도공단,,,,37.5808625683358,126.895659474538,카카오,수색역 경의중앙선
코레일,경의중앙,신원,2,국가철도공단,,,,37.5255855578889,127.373091698635,카카오,신원역 경의중앙선
코레일,경의중앙,신촌,2,국가철도공단,,,,37.555198169366435,126.93698075993808,카카오,신촌역 2호선
코레일,경의중앙,아신(아세아연합신학대),2,국가철도공단,,,,37.5139186008078,127.443211499187,카카오,아신역 경의중앙선
코레일,경의중앙,야당,2,국가철도공단,,,,37.712611015679,126.761453983315,카카오,야당역 경의중앙선
코레일,경의중앙,양수,2,국가철도공단,,,,37.5459634283124,127.329138380916,카카오,양수역 경의중앙선
코레일,경의중앙,양원(서울시북부병원),2,국가철도공단,,,,36.963793235074,129.09127875721,카카오,양원역
코레일,경의중앙,양정,2,국가철도공단,,,,37.604027962835566,127.19466908658632,카카오,양정역 경의중앙선
코레일,경의중앙,양평,2,국가철도공단,,,,37.5255796429707,126.886419282885,카카오,양평역 5호선
코레일,경의중앙,오빈,2,국가철도공단,,,,37.5061671737276,127.473661407181,카카오,오빈역 경의중앙선
코레일,경의중앙,왕십리,4,국가철도공단,,,,37.561268363317176,127.03710337610202,카카오,왕십리역 2호선
코레일,경의중앙,용문,2,국가철도공단,,,,37.4826099970057,127.594385099556,카카오,용문역
코레일,경의중앙,운길산,2,국가철도공단,,,,37.5546425431665,127.310231608596,카카오,운길산역 경의중앙선
코레일,경의중앙,운정,2,국가철도공단,,,,37.72560181256856,126.76716330229101,카카오,운정역 경의중앙선
코레일,경의중앙,운천,2,국가철도공단,,,,37.8798512036962,126.769908998666,카카오,운천역 경의중앙선
코레일,경의중앙,원덕(추읍산),2,국가철도공단,,,,37.468781735546,127.546558679899,카카오,원덕역 경의중앙선
코레일,경의중앙,월롱(서영대학교),2,국가철도공단,,,,37.7962146380874,126.792585875504,카카오,월롱역 경의중앙선
코레일,경의중앙,응봉,2,국가철도공단,,,,37.5499526279456,127.034483653629,카카오,응봉역 경의중앙선
